NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
06264,"SAUCE,WHITE,THIN,PREPARED-FROM-RECIPE,W/ BUTTER",84.02,72,3.95,2.56,1.18,8.29,0.1,5.29,131,0.22,12,110,167,184,0.47,0.019,0.031,4.7,0,0.068,0.208,0.319,0.392,0.037,10,4,5,13,,0.55,286,84,83,0,5,0,0,1,0.08,,,0.2,1.6,0.656,0.112,8,,,,,0
06285,"SAUCE,SWT & SOUR,PREPARED-FROM-RECIPE",78.56,79,1.84,0.58,1.9,16.72,0.4,10.81,16,0.67,13,30,193,347,0.18,0.1,0.247,1.6,5,0.042,0.063,1.178,0.057,0.087,10,0,10,10,,0,110,6,0,2,65,0,2032,1,0.32,,,1,0.144,0.253,0.117,1,,,,,0
06307,"SAUCE,BARBECUE,KRAFT,ORIGINAL",54.22,172,0.74,0.62,3.65,40.77,0.4,32.26,47,0.79,15,19,247,1242,0.16,0.091,0.126,,0.2,0.023,0.05,0.52,0.165,0.083,,,,,7.1,,196,10,,0,116,3,3556,69,0.66,,,,0.038,0.092,0.082,,16,1 tbsp,146,.5 cup,0
06309,"CAMPBELL'S,CHICK W/ RICE SOUP,COND",83.15,68,1.84,1.64,2,11.28,0.9,0.23,41,0.25,10,42,34,645,0.18,,,,0,,,,,,,,,,,,479,,,,,,,,,,,,0.52,0.69,0.37,4,126,".5 cup, condensed",,,0
06311,"CAMPBELL'S RED&WHITE,CHICK WON TON SOUP,COND",89.1,40,2.38,0.79,1.38,6.35,0,0.79,0,0.29,,,56,690,,,,,0,,,,,,,,,,,,79,,,,,,,,,,,,0.397,0.397,0,4,126,"1 serving, 1/2 cup",,,0
06312,"CAMPBELL'S RED & WHITE,CRM OF ASPARAGUS SOUP,COND",83.9,89,1.61,5.65,1.58,7.26,2.4,1.61,0,,,,56,669,,,,,0,,,,,,,,,,,,161,,,,,,,,,,,,1.613,0.806,3.226,4,124,"1 serving, 1/2 cup",,,0
06314,"SOUP,HEALTHY CHOIC CHICK NOODLE SOUP,CND",89.73,41,3.69,0.63,0.75,5.2,0.8,0.57,8,0,,,,195,,,,,0,,,,,,,,,,,,568,,,,,,,,,,,,0.4,0,0.18,5,243,"1 serving, 1 cup",,,0
06315,"SOUP,HEALTHY CHOIC CHICK & RICE SOUP,CND",90.31,37,2.53,0.55,0.9,5.71,0.8,0.37,15,0.09,,,,181,,,,,1,,,,,,,,,,,,334,,,,,,,,,,,,0.17,0.23,0.13,7,240,"1 serving, 1 cup",,,0
06316,"SOUP,HEALTHY CHOIC GARDEN VEG SOUP,CND",86.82,51,2.13,0.21,0.8,10.04,1.9,2.13,16,0,,,,195,,,,,1,,,,,,,,,,,,618,,,,,,,,,,,,0.05,0.07,0.08,1,246,"1 serving, 1 cup",,,0
06317,"GRAVY,CAMPBELL'S,BF,FAT FREE",91.1,25,1.69,0,2.2,5.08,0,,,,,,,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,59,.25 cup,,,0
06318,"GRAVY,CAMPBELL'S,COUNTRY STYLE CRM",86.8,76,1.69,5.08,1.34,5.08,0,1.69,0,0,,,,322,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,1.695,,,8,59,.25 cup,,,0
06319,"GRAVY,CAMPBELL'S,COUNTRY STYLE SAUSAGE",78.3,119,3.39,10.17,3.06,5.08,0,1.69,0,0,,,,458,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,2.542,,,17,59,.25 cup,,,0
06320,"GRAVY,CAMPBELL'S,CHICK,FAT FREE",91.7,25,1.69,0,1.52,5.08,,,,,,,,525,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,0,,,8,59,.25 cup,,,0
06321,"GRAVY,CAMPBELL'S,GOLDEN PORK",87.4,76,1.69,5.08,0.74,5.08,0,1.69,0,0,,,,525,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,2.542,,,8,59,.25 cup,,,0
06322,"GRAVY,CAMPBELL'S,MUSHROOM",91.9,34,0,1.69,1.32,5.08,,1.69,,,,,,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8,59,.25 cup,,,0
06323,"GRAVY,CAMPBELL'S,TURKEY,FAT FREE",90.6,33,1.67,0,1.07,6.67,,,,,,,,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8,60,.25 cup,,,0
06324,"GRAVY,CAMPBELL'S,BF,MICROWAVABLE",90,42,1.69,1.69,1.53,5.08,0,1.69,0,0,,,,475,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.847,,,0,59,.25 cup,,,0
06325,"GRAVY,CAMPBELL'S,CHICK,MICROWAVABLE",88.5,67,0,5,1.5,5,0,1.67,0,0,,,,433,,,,,0,,,,,,,,,,,,333,,,,,,,,,,,,1.667,,,8,60,.25 cup,,,0
06326,"GRAVY,CAMPBELL'S,TURKEY",89.8,42,1.69,1.69,1.73,5.08,0,1.69,0,0,,,,458,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.847,,,0,59,.25 cup,,,0
06327,"GRAVY,FRANCO-AMERICAN,BF,SLOW RST,FAT FREE",89.6,34,1.69,0,3.62,5.08,,,,,,,,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8,59,.25 cup,,,0
06328,"GRAVY,FRANCO-AMERICAN,CHICK,SLOW RST,FAT FREE",91.2,34,1.69,0,0.33,6.78,,,,,,,,424,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,0,,,8,59,.25 cup,,,0
06329,"GRAVY,FRANCO-AMERICAN,BF,SLOW RST",89.5,42,1.69,0.85,2.87,5.08,0,0,0,0,,,,525,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,8,59,.25 cup,,,0
06330,"GRAVY,FRANCO-AMERICAN,CHICK,SLOW RST",90.5,34,1.69,0.85,1.87,5.08,,,,,,,,407,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,0,,,8,59,.25 cup,,,0
06331,"GRAVY,FRANCO-AMERICAN,TURKEY,SLOW RST",88.6,42,1.69,0.85,2.08,6.78,,,,,,,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8,59,.25 cup,,,0
06332,"GRAVY,CAMPBELL'S,TURKEY,MICROWAVABLE",89.6,42,1.67,1.67,2.07,5,0,1.67,0,0,,,,450,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.833,,,0,60,.25 cup,,,0
06333,"CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND",84.8,73,1.61,4.03,0.3,9.68,0.8,2.42,16,0.29,,,77,605,,,,,1,,,,,,,,,,,,242,,,,,,,,,,,,1.21,0.806,2.016,4,124,"1 serving, 1/2 cup",,,0
06334,"CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND",84.4,73,0.81,4.84,2.7,7.26,2.4,0.81,16,0,,,460,516,,,,,0,,,,,,,,,,,,242,,,,,,,,,,,,0.806,2.823,1.21,4,124,"1 serving, 1/2 cup",,,0
06336,"CAMPBELL'S,CRM OF CHICK SOUP,COND",82.45,103,1.76,7.98,1.75,6.03,4.1,0.33,13,0.27,4,28,49,624,0.14,,,,0,,,,,,,,,,,,197,,,,,,,,,,,,2.11,3.75,1.74,9,124,".5 cup, condensed",,,0
06337,"CAMPBELL'S,CRM OF CHICK W/ HERBS SOUP,COND",84.3,65,1.61,3.23,3.6,7.26,0,0.81,0,,,,,645,,,,,0,,,,,,,,,,,,403,,,,,,,,,,,,1.21,1.21,0.806,8,124,".5 cup, condensed",,,0
06338,"CAMPBELL'S,CRM OF MUSHROOM SOUP,COND",84.76,81,1.29,5.5,1.87,6.59,0.6,0.4,8,0.16,3,19,67,697,0.11,0.024,0.036,2.9,0.5,0.01,0.017,0.363,0.148,0.018,,,,,4,,8,,2,0,1,0,0,6,0.58,0.2,9,22.5,0.951,1.284,3.155,0,129,".5 cup, condensed",,,0
06339,"CAMPBELL'S,CRM OF MUSHROOM W/ RSTD GARLIC SOUP,COND",86.2,56,1.61,2.02,2.11,8.06,1.6,0.81,16,0,,,484,387,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.806,0.403,0.806,4,124,".5 cup, condensed",,,0
06340,"CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND",82.2,81,0.81,4.84,4.09,8.06,2.4,3.23,0,0,,,48,645,,,,,0,,,,,,,,,,,,161,,,,,,,,,,,,1.21,1.21,2.419,4,124,"1 serving, 1/2 cup",,,0
06341,"CAMPBELL'S,CRM OF POTATO SOUP,COND",82,71,1.51,1.35,1.82,13.25,1.3,1.44,17,0.34,13,41,165,604,0.15,,,,0.2,,,,,,,,,,,,0,,,,,,,,,,,,0.34,0.28,0.63,1,124,".5 cup, condensed",,,0
06342,"CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND",85.8,81,2.42,4.84,0.5,6.45,0,0,0,0,,,24,694,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,1.613,0.806,2.419,16,124,"1 serving, 1/ 2 cup",,,0
06343,"CAMPBELL'S RED&WHITE,CREAMY CHICK NOODLE SOUP,COND",79.1,97,3.23,5.65,3.16,8.87,3.2,0.81,16,0.29,,,56,702,,,,,0,,,,,,,,,,,,806,,,,,,,,,,,,1.21,1.21,2.419,12,124,"1 serving, 1/2 cup",,,0
06349,"CAMPBELL'S RED & WHITE,SCOOBY-DOO SOUP,COND",85.7,56,2.38,1.59,1.5,8.73,0.8,0.79,16,0.57,,,40,627,,,,,0,,,,,,,,,,,,397,,,,,,,,,,,,0.397,0.794,0.397,4,126,"1 serving, 1/2 cup",,,0
06350,"CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND",79.5,87,2.38,1.59,0.66,15.87,0.8,0.79,0,0.57,,,667,381,,,,,0,,,,,,,,,,,,397,,,,,,,,,,,,0.397,0.794,0.397,8,126,"1 serving, 1/ 2 cup",,,0
06351,"CAMPBELL'S RED & WHITE,OLD FASHIONED TOMATO RICE SOUP,COND",74.5,87,0.79,1.59,4.87,18.25,0.8,7.94,0,0.29,,,119,611,,,,,1.9,,,,,,,,,,,,397,,,,,,,,,,,,0.397,0,0.397,0,126,"1 serving, 1/2 cup",,,0
06353,"CAMPBELL'S RED & WHITE,FIESTA NACHO CHS SOUP,COND",80.3,97,2.42,6.45,2.76,8.06,0.8,1.61,65,0,,,81,637,,,,,0,,,,,,,,,,,,403,,,,,,,,,,,,2.419,1.613,1.613,8,124,"1 serving, 1/2 cup",,,0
06354,"CAMPBELL'S RED & WHITE,FRENCH ONION SOUP,COND",91,36,1.59,1.19,1.46,4.76,0.8,3.17,16,0,,,444,516,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.794,0,0.397,4,126,"1 serving, 1/2 cup",,,0
06355,"CAMPBELL'S RED & WHITE,GOLDEN MUSHROOM SOUP,COND",87.2,65,1.61,2.82,0.72,8.06,0.8,0.81,0,,,,548,524,,,,,0,,,,,,,,,,,,403,,,,,,,,,,,,0.806,0.403,1.21,0,124,"1 serving, 1/2 cup",,,0
06357,"CAMPBELL'S RED & WHITE,GOLDFISH PASTA W/ CHICK",85.7,63,2.38,1.59,0.8,9.52,0.8,0.79,,0.29,,,429,381,,,,,0,,,,,,,,,,,,397,,,,,,,,,,,,0.397,0.794,0.397,4,126,"1 serving, 1/2 cup",,,0
06358,"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME MILK",81.51,79,2.51,2.63,1.63,11.73,0.2,,74,0.35,10,69,241,442,0.25,0.056,0.103,,2.8,0.045,0.107,0.499,0.2,0.056,9,0,9,9,,0.17,350,25,9,,,,,,,,,,1.25,0.75,0.49,9,251,"1 cup,  (8 fl oz)",609,"1 can,  (11 oz), prepared",0
06359,"SOUP,TOMATO,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",85.15,55,2.42,1.24,1.38,9.82,0.5,6.59,68,0.3,13,63,343,206,0.34,0.027,0.074,2.7,6.3,0.041,0.103,0.461,,0.061,2,0,2,2,14.7,0.28,287,38,29,0,115,0,5261,43,0.18,0.6,25,1.6,0.707,0.356,0.113,4,252,"1 serving, 1 cup",31.5,1 fl oz,0
06361,"CAMPBELL'S RED & WHITE,GRN PEA SOUP,COND",66.8,141,7.03,2.34,1.95,21.88,3.1,4.69,16,1.13,,,305,680,,,,,0,,,,,,,,,,,,156,,,,,,,,,,,,0.781,0.391,0.781,0,128,"1 serving, 1/2 cup",,,0
06363,"CAMPBELL'S,HOMESTYLE CHICK NOODLE SOUP,COND",85.9,51,2.36,1.28,2.29,7.53,0.8,1.11,11,0.38,8,43,22,739,0.15,,,,0.1,,,,,,,,,,,,446,,,,,,,,,,,,0.34,0.56,0.31,8,126,".5 cup, condensed",,,0
06364,"CAMPBELL'S RED & WHITE,MANHATTAN CLAM CHOWDER,COND",86.4,48,1.59,0.4,2.09,9.52,1.6,1.59,16,0.57,,,198,698,,,,,1,,,,,,,,,,,,794,,,,,,,,,,,,0.397,0,0,0,126,"1 serving, 1/2 cup",,,0
06365,"CAMPBELL'S RED & WHITE,MEGA NOODLE IN CHICK BROTH,COND",82.8,71,2.38,1.59,1.33,11.9,0.8,0.79,0,0.57,,,437,381,,,,,0,,,,,,,,,,,,595,,,,,,,,,,,,0.397,0.794,0.397,12,126,"1 serving, 1/2 cup",,,0
06366,"CAMPBELL'S RED & WHITE,MINESTRONE SOUP,COND",79.7,71,3.17,0.79,2.84,13.49,2.4,2.38,16,0.86,,,833,516,,,,,0,,,,,,,,,,,,794,,,,,,,,,,,,0.397,0,0,4,126,"1 serving, 1/2 cup",,,0
06367,"CAMPBELL'S RED & WHITE,NEW ENGLAND CLAM CHOWDER,COND",83.3,71,3.17,1.98,1.22,10.32,0.8,0.79,16,0.57,,,516,516,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.397,0,1.19,4,126,"1 serving, 1/2 cup",,,0
06373,"CAMPBELL'S RED & WHITE,VEGETARIAN VEG SOUP,COND",81.6,71,2.38,0.4,1.34,14.29,1.6,4.76,16,0.57,,,698,516,,,,,0,,,,,,,,,,,,1984,,,,,,,,,,,,0,0,0,0,126,"1 serving, 1/2 cup",,,0
06374,"CAMPBELL'S RED & WHITE,VEG SOUP,COND",78.7,79,3.17,0.4,1.06,16.67,2.4,5.56,16,0.57,,,579,516,,,,,,,,,,,,,,,,,2381,,,,,,,,,,,,0.397,0,0,4,126,"1 serving, 1/2 cup",,,0
06375,"CAMPBELL'S,VEG BF SOUP,COND",82,65,3.79,0.26,2.09,11.8,2.1,1.7,13,0.6,5,20,169,656,0.64,,,,1.2,,,,,,,,,,,,601,,,,,,,,,,,,0.09,0.1,0.07,3,126,".5 cup, condensed",,,0
06377,"CAMPBELL'S,TOMATO SOUP,COND",80.79,71,1.46,0.44,2.09,15.22,1.1,8.23,13,0.59,14,31,562,377,0.18,0.05,0.138,3,4.8,0.042,0.015,0.858,,,,,,,,,323,,,,,,,,,,,,0,0,0,0,124,".5 cup, condensed",,,0
06379,"CAMPBELL'S RED & WHITE,TOMATO BISQUE,COND",75.4,103,1.59,2.78,1.98,18.25,0.8,11.9,32,0.29,,,,698,,,,,4.8,,,,,,,,,,,,238,,,,,,,,,,,,1.19,0.397,0.794,4,126,"1 serving, 1/2 cup",,,0
06380,"CAMPBELL'S RED & WHITE,SPLIT PEA W/ HAM & BACON SOUP,COND",66,141,7.81,1.56,1.19,23.44,3.1,3.13,16,1.13,,,352,664,,,,,0,,,,,,,,,,,,234,,,,,,,,,,,,0.391,0.781,0.391,4,128,"1 serving, 1/2 cup",,,0
06383,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO CHEDDAR BACON BITS SOUP",83.8,78,2.04,3.67,1.5,9.39,0.8,1.25,16,0.29,,,,322,,,,,0,,,,,,,,,,,,41,,,,,,,,,,,,1.224,,,4,245,1 cup,,,0
06384,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO W/ STEAK & CHS SOUP",82.3,82,3.27,4.08,1.37,8.57,1.2,1.22,8,0.59,,,,343,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,1.02,,,6,245,1 cup,,,0
06387,"CAMPBELL'S CHUNKY SOUPS,BF RIB RST POTATOES HERBS SOUP",87.7,44,2.86,0.41,1.69,6.94,0.8,2.45,8,0.29,,,,363,,,,,0.5,,,,,,,,,,,,918,,,,,,,,,,,,0.408,,,4,245,1 cup,,,0
06388,"CAMPBELL'S CHUNKY SOUPS,BF W/ COUNTRY VEG SOUP",85.3,53,3.27,1.22,2.6,7.35,1.2,1.63,8,0.59,,,,376,,,,,0,,,,,,,,,,,,2449,,,,,,,,,,,,0.408,,,6,245,1 cup,,,0
06389,"CAMPBELL'S CHUNKY SOUPS,BF W/ WHITE & WILD RICE SOUP",84.3,57,3.27,0.61,1.62,9.8,0.8,2.04,8,0.44,,,,363,,,,,0,,,,,,,,,,,,1020,,,,,,,,,,,,0.204,,,4,245,1 cup,,,0
06391,"CAMPBELL'S CHUNKY,CREAMY CHICK & DUMPLINGS SOUP",85.59,66,2.32,3.19,1.5,7.09,1.5,1.09,16,0.49,18,36,50,339,0.28,,,,0,,,,,,,,,,,,716,,,,,,,,,,,,0.68,0.56,1.95,12,245,1 cup,,,0
06392,"CAMPBELL'S CHUNKY SOUPS,CHICK BROCCOLI CHS & POTATO SOUP",83.22,86,2.86,4.49,1.24,8.16,1.2,2.45,8,0,,,,359,,,,,0,,,,,,,,,,,,204,,,,,,,,,,,,1.633,,,8,245,1 cup,,,0
06393,"CAMPBELL'S CHUNKY SOUPS,CHICK CORN CHOWDER",83.8,82,2.86,4.08,1.1,8.16,0.8,1.22,8,0.29,,,,351,,,,,0,,,,,,,,,,,,816,,,,,,,,,,,,1.224,,,6,245,1 cup,,,0
06395,"CAMPBELL'S CHUNKY,CLASSIC CHICK NOODLE SOUP",88.9,47,3.41,1.3,0.98,5.41,1,0.41,11,0.34,7,35,90,325,0.18,0.025,0.058,5.7,0,0.017,0.023,1.352,,,,,,,,,,,,20,198,,,,,,,,0.408,,,8,243,1 cup,526,1 can,0
06396,"CAMPBELL'S CHUNKY SOUPS,FAJITA CHICK W/ RICE & BNS SOUP",83.9,53,2.86,0.61,2.9,9.39,0.8,2.86,8,0.44,,,,347,,,,,0,,,,,,,,,,,,1224,,,,,,,,,,,,0.204,,,6,245,1 cup,,,0
06398,"CAMPBELL'S CHUNKY SOUPS,FIREHOUSE - HOT SPICY BF BEAN CHILI",78.7,95,6.12,3.27,1.71,10.2,2.4,2.86,16,0.73,,,,355,,,,,0.5,,,,,,,,,,,,204,,,,,,,,,,,,1.429,,,10,245,1 cup,,,0
06399,"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK SAUSAGE GUMBO SOUP",85.6,57,2.86,1.22,1.54,8.57,0.8,1.63,8,0.15,,,,347,,,,,0,,,,,,,,,,,,163,,,,,,,,,,,,0.612,,,8,245,1 cup,,,0
06400,"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK VEG & PASTA SOUP",88.8,41,2.45,1.02,1.9,5.71,0.8,0.82,8,0.15,,,,359,,,,,0,,,,,,,,,,,,1224,,,,,,,,,,,,0.204,,,6,245,1 cup,,,0
06401,"SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME H2O",91.8,35,0.94,1.68,1.21,4.38,0.2,,12,0.33,2,16,71,402,0.36,0.051,0.154,,1.1,0.022,0.032,0.319,0.05,0.005,9,0,9,9,,0.02,182,15,7,,,,,,,,,,0.43,0.39,0.76,2,244,"1 cup,  (8 fl oz)",593,"1 can,  (10.75 oz), prepared",0
06402,"SOUP,BLACK BEAN,CND,PREP W/ EQ VOLUME H2O",87.62,46,2.42,0.66,1.6,7.71,3.4,1.24,19,0.75,17,38,125,487,0.55,0.155,0.25,0,0.1,0.021,0.02,0.205,0.08,0.035,33,0,33,33,7.8,0,222,11,0,40,110,6,232,18,0.18,0,0,0.9,0.17,0.24,0.205,0,247,1 cup,600,"1 can,  (11 oz), prepared",0
06403,"CAMPBELL'S CHUNKY SOUPS,GRILLED SIRLOIN STEAK HEARTY VEG SP",87,51,3.27,0.82,1.16,7.76,1.6,1.63,8,0.44,,,,363,,,,,0.5,,,,,,,,,,,,1224,,,,,,,,,,,,0.408,,,4,245,1 cup,,,0
06404,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",85.35,63,2.88,2.16,1.31,8.31,2.9,1.47,31,0.75,17,48,147,349,0.38,0.152,0.245,3.1,0.6,0.032,0.012,0.206,0.034,0.015,12,0,12,12,13.1,0.01,324,17,1,58,164,0,2910,4,0.43,0,0,1.2,0.558,0.793,0.666,1,266,"1 serving, 1 cup",33.3,1 fl oz,0
06405,"CAMPBELL'S CHUNKY,HEALTHY REQUEST CHICK NOODLE SOUP",87.59,41,2.97,0.97,1.1,5.88,0.8,1.12,12,0.34,8,36,317,161,0.47,,,,0.5,,,,,,,,,,,,491,,,,,,,,,,,,0.18,0.4,0.18,8,245,1 cup,,,0
06406,"SOUP,BEAN W/ FRANKFURTERS,CND,PREP W/ EQ VOLUME H2O",83.03,75,3.99,2.79,1.39,8.8,,,35,0.94,19,66,191,437,0.47,0.158,0.315,3.4,0.4,0.044,0.026,0.41,0.04,0.053,12,0,12,12,,0.03,348,17,0,,,,,,,,,,0.85,1.09,0.66,5,250,"1 cup,  (8 fl oz)",607,"1 can,  (11.25 oz), prepared",0
06408,"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST VEG SOUP",87.7,49,1.63,0.41,0.67,9.8,1.6,3.27,24,0.44,,,,167,,,,,0,,,,,,,,,,,,1633,,,,,,,,,,,,0.204,,,0,245,1 cup,,,0
06409,"SOUP,BF NOODLE,CND,PREP W/ EQ VOLUME H2O",92.16,34,1.93,1.23,1.1,3.58,0.3,1.03,8,0.44,3,19,40,325,0.62,0.06,0.109,3,0.2,0.028,0.024,0.425,0.08,0.015,8,6,2,12,7,0.08,101,5,0,0,60,0,4253,2,0.5,0,0,0.8,0.455,0.495,0.195,2,244,"1 cup,  (8 fl oz)",593,"1 can,  (10.75 oz), prepared",0
06410,"SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME H2O",92.27,37,0.68,2.29,1.15,3.62,0.3,,16,0.26,3,15,50,254,0.06,0.058,0.103,0.9,0.1,0.012,0.02,0.136,0.46,0.005,1,0,1,1,,0.1,126,,,,,,,,,,,,0.58,0.53,1.03,6,248,1 cup,593,"1 can,  (10.75 oz), prepared",0
06411,"SOUP,CHS,CND,PREP W/ EQ VOLUME H2O",88.12,63,2.19,4.24,1.19,4.26,0.4,,57,0.3,2,55,62,388,0.26,0.052,0.104,1.8,0,0.007,0.055,0.161,0.04,0.01,2,0,2,2,,0,440,120,117,,,,,,,,,,2.7,1.2,0.12,12,247,"1 cup,  (8 fl oz)",600,"1 can,  (11 oz), prepared",0
06413,"SOUP,CHICK BROTH,CND,PREP W/ EQ VOLUME H2O",95.95,16,2.02,0.57,1.02,0.38,0,0.29,4,0.21,1,30,86,306,0.1,0.051,0.102,0,0,0.004,0.029,1.372,0.02,0.01,2,0,2,2,4.7,0.1,0,0,0,0,0,0,0,0,0.02,0,0,0,0.16,0.24,0.11,0,244,"1 cup,  (8 fl oz)",593,"1 can,  (10.75 oz), prepared",0
06414,"CAMPBELL'S CHUNKY SOUPS,HEARTY BEAN 'N' HAM SOUP",81.6,74,4.49,0.82,0.85,12.24,3.3,2.04,24,0.73,,,,318,,,,,0,,,,,,,,,,,,1020,,,,,,,,,,,,0.204,,,4,245,1 cup,,,0
06415,"CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",86.23,56,2.89,0.92,0.98,8.98,1,1.17,10,0.49,10,55,129,308,0.54,0.063,0.096,2.2,0.8,0.027,0.085,1.047,0.21,0.094,12,,12,,,0.17,157,,0,27,81,0,229,49,0.08,,,,0.377,0.381,0.137,4,206,1 cup,527,1 can,0
06416,"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME H2O",90.62,48,1.41,3.02,1.17,3.8,0.1,,14,0.25,1,15,36,347,0.26,0.051,0.154,,0.1,0.012,0.025,0.336,0.08,0.007,1,0,1,1,,0.04,230,67,66,,,,,,,,,,0.85,1.34,0.61,4,244,1 cup,30.5,1 fl oz,0
06417,"SOUP,CHICK GUMBO,CND,PREP W/ EQ VOLUME H2O",93.84,23,1.08,0.59,1.06,3.43,0.8,1.02,10,0.37,2,10,31,391,0.15,0.051,0.103,3.3,2,0.01,0.02,0.272,0.08,0.026,2,0,2,2,3.6,0.01,55,3,0,0,32,2,990,28,0.15,0,0,2.6,0.13,0.27,0.14,2,244,1 cup,593,"1 can,  (10.75 oz), prepared",0
06418,"CAMPBELL'S CHUNKY SOUPS,HEARTY CHICK W/ VEG SOUP",88.6,45,2.45,0.82,1.52,6.94,1.2,1.22,8,0,,,,290,,,,,0,,,,,,,,,,,,1224,,,,,,,,,,,,0.204,,,6,245,1 serving,,,0
06419,"SOUP,CHICK NOODLE,CND,PREP W/ EQ VOLUME H2O",94.17,24,1.16,0.76,0.94,2.97,0.5,0,5,0.33,4,18,24,335,0.14,0.018,0.048,3.1,0,0.039,0.034,0.598,0.053,0.021,7,5,2,10,5.5,0.06,201,11,1,0,119,0,0,4,0.03,0,0,0,0.191,0.262,0.166,4,248,"1 serving, 1 cup",,,0
06423,"SOUP,CHICK W/ RICE,CND,PREP W/ EQ VOLUME H2O",93.87,24,1.45,0.78,0.99,2.92,0.3,0.08,9,0.31,0,9,41,238,0.11,0.053,0.15,2.1,0.1,0.007,0.01,0.459,0.07,0.01,0,0,0,0,4.9,0.07,170,9,0,39,83,0,0,3,0.03,0,0,0.1,0.185,0.37,0.17,3,243,"1 serving, 1 cup",,,0
06426,"SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O",85.68,57,2.49,1.24,1.37,9.23,1.2,2.49,18,0.79,10,55,196,388,0.77,0.152,0.392,2.4,1.5,0.022,0.028,0.398,0.108,0.059,4,0,4,4,10.6,0.15,563,28,0,13,295,72,1265,87,0.53,0,0,1.6,0.608,0.496,0.046,5,261,1 cup,32.6,1 fl oz,0
06428,"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O",92.26,30,0.85,0.86,1.26,4.77,0.6,1.32,11,0.64,4,16,74,226,0.36,0.054,0.147,3.7,1.6,0.012,0.016,0.318,0.073,0.039,4,0,4,4,7.9,1.58,373,20,2,42,195,7,3147,13,0.5,0,0,2.7,0.149,0.149,0.503,1,249,"1 serving, 1 cup",31.1,1 fl oz,0
